,Exploits,Fraudlent Services,Malware,Phishing,Spammers,Unwanted Programs
DO,0.0,10.0,43.0,4.0,2.0,0.0
FR,17144.0,25915.0,68311.0,33836.0,121.0,7558.0
BG,117.0,499.0,4589.0,543.0,5.0,24.0
DJ,0.0,0.0,3.0,0.0,1.0,0.0
BA,272.0,1699.0,1693.0,27.0,15.0,0.0
DE,6847.0,35223.0,90309.0,105034.0,364.0,13793.0
JP,79.0,389.0,2784.0,662.0,7.0,627.0
HU,124.0,449.0,8667.0,1214.0,5.0,632.0
HK,2092.0,5525.0,18638.0,4895.0,173.0,114.0
BR,331.0,1567.0,22340.0,4624.0,30.0,295.0
BS,229.0,236.0,1515.0,30.0,6.0,31.0
FI,21.0,568.0,597.0,237.0,1.0,34.0
PH,4.0,32.0,350.0,65.0,1.0,7.0
BZ,10.0,1260.0,243.0,67.0,1.0,0.0
DK,225.0,1700.0,3814.0,689.0,3.0,329.0
RU,8657.0,62550.0,93571.0,17692.0,1131.0,2060.0
NL,5120.0,21838.0,59027.0,22373.0,253.0,7076.0
PT,24.0,436.0,2626.0,615.0,3.0,126.0
unknown,693.0,8880.0,15918.0,23557.0,16.0,1444.0
CL,77.0,224.0,3920.0,730.0,2.0,11.0
TR,940.0,10492.0,18124.0,3842.0,24.0,66.0
NZ,26.0,165.0,651.0,145.0,2.0,7.0
LV,1314.0,3641.0,3363.0,463.0,58.0,53.0
LT,385.0,7019.0,16736.0,8637.0,14.0,67.0
LU,5196.0,3230.0,4861.0,620.0,11.0,42.0
TH,148.0,3028.0,4986.0,1502.0,9.0,134.0
PE,2.0,5.0,113.0,28.0,2.0,10.0
AT,160.0,739.0,3240.0,372.0,34.0,155.0
RO,293.0,8486.0,9316.0,1441.0,35.0,141.0
EG,335.0,27.0,1078.0,14.0,2.0,0.0
PL,460.0,7919.0,42731.0,4340.0,11.0,221.0
CO,14.0,27.0,2662.0,90.0,1.0,10.0
CN,4280.0,8274.0,55711.0,308660.0,249.0,2965.0
VG,10212.0,16227.0,51214.0,9008.0,642.0,1169.0
EE,80.0,6064.0,1759.0,206.0,3.0,48.0
CA,907.0,6318.0,13523.0,2736.0,34.0,899.0
IR,109.0,254.0,2446.0,1008.0,1.0,48.0
IT,1301.0,5008.0,24727.0,16976.0,40.0,954.0
VN,78.0,289.0,18510.0,995.0,5.0,21.0
CZ,1866.0,5368.0,45458.0,1853.0,99.0,530.0
AR,136.0,306.0,5979.0,1012.0,1.0,28.0
AU,464.0,7924.0,16142.0,5782.0,16.0,515.0
GB,3300.0,15231.0,45238.0,15783.0,179.0,2489.0
ZZ,135.0,2976.0,3860.0,1303.0,32.0,215.0
IN,338.0,2791.0,12527.0,1316.0,13.0,138.0
EU,358.0,1107.0,1406.0,1945.0,26.0,20.0
IE,52.0,844.0,1381.0,323.0,1.0,32.0
ID,23.0,237.0,4901.0,1066.0,4.0,25.0
ES,1830.0,4765.0,30229.0,2744.0,14.0,332.0
MD,489.0,1848.0,7212.0,336.0,23.0,11.0
PA,105.0,549.0,2963.0,110.0,9.0,4.0
NA,7175.0,13691.0,28900.0,12569.0,1.0,686.0
--,6776.0,32156.0,115906.0,107473.0,187.0,46827.0
UA,4623.0,7512.0,103965.0,12348.0,239.0,443.0
MY,177.0,1232.0,5052.0,1414.0,28.0,168.0
US,100135.0,449768.0,1951981.0,1604567.0,2629.0,601565.0
SK,23.0,1051.0,23640.0,337.0,2.0,101.0
KR,1905.0,1479.0,13937.0,4244.0,59.0,233.0
TW,97.0,1914.0,8746.0,1004.0,2.0,51.0
SG,465.0,7483.0,9975.0,6444.0,28.0,1033.0
SE,386.0,2892.0,7274.0,12648.0,3.0,1015.0
IL,85.0,308.0,2660.0,739.0,6.0,526.0
BD,3.0,15.0,361.0,73.0,0.0,0.0
BE,69.0,1064.0,1852.0,382.0,0.0,95.0
BF,0.0,0.0,1.0,0.0,0.0,0.0
BB,0.0,0.0,7.0,0.0,0.0,0.0
BM,0.0,0.0,14.0,0.0,0.0,0.0
BN,0.0,0.0,4.0,0.0,0.0,0.0
BO,1.0,0.0,283.0,16.0,0.0,0.0
BI,0.0,0.0,3.0,0.0,0.0,0.0
BJ,0.0,0.0,1.0,0.0,0.0,0.0
BT,0.0,0.0,4.0,0.0,0.0,0.0
JM,0.0,0.0,60.0,0.0,0.0,0.0
JO,29.0,0.0,362.0,2.0,0.0,3.0
BY,25.0,111.0,985.0,333.0,0.0,11.0
RW,0.0,0.0,8.0,2.0,0.0,0.0
RS,33.0,1551.0,29476.0,215.0,0.0,3.0
RE,0.0,0.0,4.0,0.0,0.0,0.0
TM,0.0,0.0,1.0,0.0,0.0,0.0
LR,0.0,0.0,159.0,0.0,0.0,0.0
GU,0.0,0.0,28.0,0.0,0.0,0.0
GT,3.0,0.0,1852.0,16.0,0.0,2.0
GR,57.0,527.0,1490.0,438.0,0.0,22.0
BH,0.0,0.0,57.0,8.0,0.0,0.0
GY,0.0,0.0,6.0,0.0,0.0,0.0
GE,17.0,28.0,595.0,256.0,0.0,13.0
GD,0.0,0.0,3.0,0.0,0.0,0.0
GA,0.0,0.0,5.0,0.0,0.0,0.0
GM,0.0,0.0,45.0,18.0,0.0,0.0
GI,0.0,0.0,4.0,0.0,0.0,1.0
GH,0.0,10.0,85.0,0.0,0.0,0.0
OM,0.0,0.0,54.0,0.0,0.0,0.0
TN,4.0,11.0,332.0,15.0,0.0,0.0
BW,0.0,0.0,6.0,0.0,0.0,0.0
HR,24.0,52.0,254.0,219.0,0.0,0.0
HT,0.0,0.0,3.0,0.0,0.0,0.0
HN,2.0,2.0,62.0,8.0,0.0,0.0
VE,5.0,16.0,662.0,34.0,0.0,0.0
PR,0.0,2.0,152.0,6.0,0.0,0.0
PS,2.0,3.0,264.0,1.0,0.0,0.0
PY,0.0,0.0,252.0,2.0,0.0,0.0
AI,17.0,2.0,136.0,54.0,0.0,5.0
PF,5.0,0.0,8.0,0.0,0.0,0.0
PG,1.0,0.0,22.0,0.0,0.0,0.0
PK,12.0,14.0,971.0,174.0,0.0,0.0
ZM,0.0,0.0,13.0,3.0,0.0,0.0
ZA,81.0,522.0,3857.0,1012.0,0.0,70.0
EC,4.0,4.0,1085.0,7.0,0.0,4.0
AL,0.0,5.0,234.0,4.0,0.0,0.0
AO,0.0,4.0,3.0,0.0,0.0,0.0
KZ,66.0,274.0,1012.0,161.0,0.0,2.0
ET,0.0,0.0,3.0,1.0,0.0,0.0
ZW,0.0,0.0,20.0,10.0,0.0,0.0
KY,6.0,0.0,9.0,0.0,0.0,0.0
ME,0.0,3.0,46.0,3.0,0.0,0.0
MG,0.0,0.0,134.0,0.0,0.0,0.0
MF,0.0,0.0,1.0,0.0,0.0,0.0
MA,6.0,1.0,686.0,34.0,0.0,0.0
UZ,4.0,16.0,54.0,33.0,0.0,0.0
MM,0.0,0.0,9.0,5.0,0.0,0.0
ML,0.0,0.0,10.0,4.0,0.0,0.0
MO,2.0,0.0,99.0,5.0,0.0,0.0
MN,34.0,10.0,134.0,30.0,0.0,0.0
MH,0.0,0.0,14.0,0.0,0.0,0.0
MU,2.0,118.0,110.0,4.0,0.0,0.0
MT,2.0,195.0,126.0,4.0,0.0,2.0
MW,0.0,0.0,2.0,6.0,0.0,0.0
MV,0.0,0.0,30.0,0.0,0.0,0.0
UK,4.0,0.0,25.0,0.0,0.0,0.0
UG,0.0,0.0,9.0,3.0,0.0,0.0
MX,13.0,136.0,3359.0,392.0,0.0,25.0
A1,0.0,0.0,1.0,0.0,0.0,0.0
xx,3.0,3.0,371.0,0.0,0.0,0.0
AF,0.0,0.0,34.0,0.0,0.0,0.0
FJ,12.0,0.0,153.0,0.0,0.0,0.0
NI,0.0,0.0,6.0,3.0,0.0,0.0
NO,15.0,171.0,779.0,1798.0,0.0,80.0
VU,0.0,0.0,1.0,0.0,0.0,0.0
NC,4.0,0.0,29.0,0.0,0.0,0.0
NE,0.0,0.0,1.0,0.0,0.0,0.0
NG,10.0,0.0,850.0,9.0,0.0,0.0
NP,0.0,2.0,81.0,24.0,0.0,0.0
MR,0.0,0.0,2.0,0.0,0.0,0.0
XK,0.0,0.0,562.0,0.0,0.0,0.0
CI,0.0,2.0,32.0,32.0,0.0,0.0
CH,84.0,879.0,2533.0,578.0,0.0,127.0
CM,0.0,0.0,94.0,2.0,0.0,0.0
CG,0.0,0.0,15.0,0.0,0.0,0.0
CD,0.0,4.0,1.0,0.0,0.0,0.0
CY,6.0,669.0,291.0,15.0,0.0,7.0
CS,0.0,0.0,2.0,0.0,0.0,0.0
CR,3.0,71.0,360.0,27.0,0.0,4.0
CW,1.0,1.0,172.0,1.0,0.0,9.0
CU,0.0,0.0,6.0,0.0,0.0,0.0
SZ,0.0,0.0,6.0,0.0,0.0,0.0
SY,0.0,2.0,64.0,29.0,0.0,0.0
SX,0.0,0.0,2.0,0.0,0.0,0.0
KG,12.0,1367.0,261.0,21.0,0.0,2.0
KE,1.0,4.0,196.0,32.0,0.0,0.0
SR,0.0,0.0,2.0,3.0,0.0,0.0
KH,0.0,2.0,245.0,69.0,0.0,0.0
SV,0.0,4.0,22.0,15.0,0.0,0.0
SI,8.0,409.0,504.0,218.0,0.0,6.0
SO,0.0,0.0,26.0,0.0,0.0,0.0
SN,0.0,1.0,40.0,0.0,0.0,0.0
SM,0.0,12.0,2.0,3.0,0.0,0.0
SC,2.0,33.0,44.0,1.0,0.0,0.0
KW,0.0,2.0,200.0,2.0,0.0,0.0
SA,12.0,384.0,789.0,23.0,0.0,31.0
SD,0.0,6.0,40.0,2.0,0.0,0.0
DM,0.0,0.0,19.0,0.0,0.0,0.0
YE,4.0,0.0,22.0,0.0,0.0,0.0
DZ,7.0,5.0,334.0,162.0,0.0,0.0
MK,3.0,4.0,169.0,13.0,0.0,2.0
UY,0.0,0.0,204.0,30.0,0.0,0.0
LB,5.0,0.0,217.0,17.0,0.0,0.0
LA,2.0,2.0,25.0,2.0,0.0,0.0
TT,0.0,4.0,173.0,0.0,0.0,0.0
LK,2.0,4.0,143.0,21.0,0.0,0.0
LI,0.0,0.0,11.0,0.0,0.0,3.0
TJ,0.0,0.0,6.0,2.0,0.0,0.0
LS,0.0,0.0,11.0,0.0,0.0,0.0
TD,0.0,0.0,3.0,0.0,0.0,0.0
TC,0.0,0.0,2.0,1.0,0.0,0.0
LY,0.0,0.0,165.0,6.0,0.0,0.0
VC,0.0,0.0,1.0,0.0,0.0,0.0
AE,1035.0,148.0,824.0,256.0,0.0,9.0
AD,1.0,0.0,1121.0,0.0,0.0,0.0
AG,0.0,0.0,11.0,0.0,0.0,0.0
IQ,0.0,27.0,231.0,0.0,0.0,0.0
IS,34.0,682.0,838.0,97.0,0.0,0.0
AM,1.0,0.0,357.0,21.0,0.0,0.0
AW,0.0,0.0,2.0,0.0,0.0,0.0
TZ,0.0,0.0,32.0,4.0,0.0,0.0
AZ,59.0,54.0,628.0,7.0,0.0,0.0
QA,0.0,2.0,93.0,0.0,0.0,4.0
MZ,0.0,1.0,10.0,4.0,0.0,0.0
MP,0.0,0.0,0.0,1.0,0.0,0.0
CV,0.0,0.0,0.0,2.0,0.0,0.0
AS,0.0,0.0,0.0,6.0,0.0,0.0
